STATISTIC,Statistic Label,TLIST(Q1),Quarter,C02479V04377,Garda Region,C02480V03003,Type of Offence,UNIT,VALUE
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,1,Homicide & related offences (01),Number,7
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,111,Murder (0111),Number,4
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,112,Manslaughter (0112),Number,2
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,113,Infanticide (0113),Number,0
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,12,Dangerous driving leading to death (012),Number,1
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,2,Sexual offences (02),Number,174
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,21,Rape and sexual assault (021),Number,154
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,22,Other sexual offences (022),Number,20
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,3,"Attempts/threats to murder, assaults, harassments and related offences (03)",Number,1072
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,311,Murder-attempt (0311),Number,2
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,313,Threat to kill or cause serious harm  (0313 ),Number,1
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,33,Harassment and related offences (033),Number,64
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,34,"Assault causing harm, poisoning (034)",Number,408
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,35,Other assault (035),Number,597
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,4,Dangerous or negligent acts (04),Number,742
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,411,Dangerous driving causing serious bodily harm (0411),Number,2
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,0412_13,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",Number,708
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,412,Driving/in charge of a vehicle while over legal alcohol limit (0412),Number,699
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,413,Driving/in charge of a vehicle under the influence of drugs (0413),Number,9
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,421,Endangerment with potential for serious harm/death (0421),Number,7
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,422,"Abandoning a child, child neglect and cruelty (0422)",Number,6
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,423,Unseaworthy/dangerous use of boat or ship (0423),Number,0
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,424,False alarm/interference with aircraft or air transport facilities (0424),Number,3
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,425,Endangering traffic offences (0425),Number,16
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,5,Kidnapping and related offences (05),Number,16
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,511,False imprisonment (0511),Number,12
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,512,Abduction of person under 16 years of age (0512),Number,4
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,513,Human trafficking offences (0513),Number,0
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,6,"Robbery, extortion and hijacking offences (06)",Number,586
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,611,Robbery of an establishment or institution (0611),Number,216
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,612,Robbery of cash or goods in transit (0612),Number,10
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,613,Robbery from the person (0613),Number,339
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,621,Blackmail or extortion (0621),Number,4
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,631,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",Number,17
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,7,Burglary and related offences (07),Number,2973
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,711,Aggravated burglary (0711),Number,64
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,712,Burglary (not aggravated) (0712),Number,2857
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,713,"Possession of an article (with intent to burgle, steal, demand) (0713)",Number,52
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,8,Theft and related offences (08),Number,9178
CJQ05,Recorded crime incidents,20031,2003Q1,10,10 Dublin Metropolitan Region,81,Theft/taking of vehicle and related offences (081),Number,1901
